slug,nazwa,url,status_rynkowy,cena_od_pln,liczba_wersji,dostepnosc,gwarancja_pojazdu,gwarancja_baterii,prog_soh,liczba_salonow,stan_danych
mg-cyberster,MG Cyberster,https://nowoczesneauta.pl/modele/mg-cyberster/,official_pl_current,267900,4,,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mg-hs,MG HS,https://nowoczesneauta.pl/modele/mg-hs/,official_pl_current,117900,4,,7 lat / 150 tys. km,,,60,2026-09-16
mg-hs-hybrid,MG HS Hybrid+,https://nowoczesneauta.pl/modele/mg-hs-hybrid/,official_pl_current,122900,2,,7 lat / 150 tys. km,,,60,2026-09-16
mg-hs-phev,MG HS PHEV,https://nowoczesneauta.pl/modele/mg-hs-phev/,official_pl_current,164500,2,,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mg-zs,MG ZS,https://nowoczesneauta.pl/modele/mg-zs/,official_pl_current,85500,2,,7 lat / 150 tys. km,,,60,2026-09-16
mg-zs-hybrid,MG ZS Hybrid+,https://nowoczesneauta.pl/modele/mg-zs-hybrid/,official_pl_current,88900,3,,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mg3,MG3,https://nowoczesneauta.pl/modele/mg3/,official_pl_current,73500,2,,7 lat / 150 tys. km,,,60,2026-09-16
mg3-hybrid,MG3 Hybrid+,https://nowoczesneauta.pl/modele/mg3-hybrid/,official_pl_current,87950,3,,7 lat / 150 tys. km,,,60,2026-09-16
mg4-ev,MG4 EV,https://nowoczesneauta.pl/modele/mg4-ev/,official_pl_current,100900,6,,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mgs5-ev,MGS5 EV,https://nowoczesneauta.pl/modele/mgs5-ev/,official_pl_current,143900,4,,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mgs6-ev,MGS6 EV,https://nowoczesneauta.pl/modele/mgs6-ev/,official_pl_current,203900,2,premiera w salonach lipiec 2026,7 lat / 150 tys. km,7 lat / 150 tys. km,,60,2026-09-16
mgs9-phev,MGS9 PHEV,https://nowoczesneauta.pl/modele/mgs9-phev/,official_pl_current,172900,2,,7 lat / 150 tys. km,7 lat / 150 000 km,próg 70% pojemności,60,2026-09-16
mhero-917,MHERO 917,https://nowoczesneauta.pl/modele/mhero-917/,official_pl_current,799000,1,"Polska oferta 917 BEV; cena opublikowana, odczyt 11.09.2026",5 lat / 150 000 km według MHERO Polska,8 lat / 160 000 km — akumulator i napęd,,2,2026-09-11
mhero-m817,MHERO M817,https://nowoczesneauta.pl/modele/mhero-m817/,official_pl_current,289000,2,"Polska oferta E0 i E1+α; ceny opublikowane, dostępność do potwierdzenia",,,,2,2026-09-11
nio-el6,NIO EL6,https://nowoczesneauta.pl/modele/nio-el6/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,0,2026-09-10
nio-el8,NIO EL8,https://nowoczesneauta.pl/modele/nio-el8/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,0,2026-09-10
nio-et5,NIO ET5,https://nowoczesneauta.pl/modele/nio-et5/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,0,2026-09-10
nio-et5-touring,NIO ET5 Touring,https://nowoczesneauta.pl/modele/nio-et5-touring/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; 2026 — miesiąc niepotwierdzony,,,,0,2026-09-10
omoda-4,Omoda 4,https://nowoczesneauta.pl/modele/omoda-4/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; przedpremierowy pokaz w Polsce zapowiedziany na październik 2026 (Poznań Game Arena); sprzedaż niepotwierdzona,,,,60,2026-09-25
omoda-5,Omoda 5,https://nowoczesneauta.pl/modele/omoda-5/,official_pl_current,115500,2,,7 lat,,,60,2026-07-13
omoda-5-hybrid,Omoda 5 Hybrid,https://nowoczesneauta.pl/modele/omoda-5-hybrid/,official_pl_current,112900,2,,7 lat / 150 000 km lub 3 lata bez limitu km,,,60,2026-09-25
omoda-7,Omoda 7 Super Hybrid,https://nowoczesneauta.pl/modele/omoda-7/,official_pl_current,167900,2,,8 lat / 160 000 km,8 lat / 160 000 km,,60,2026-09-25
omoda-9,Omoda 9 Super Hybrid Exclusive,https://nowoczesneauta.pl/modele/omoda-9/,official_pl_current,214900,1,,7 lat,,,60,2026-07-16
omoda-e5,Omoda E5,https://nowoczesneauta.pl/modele/omoda-e5/,official_pl_current,139900,1,,7 lat / 150 000 km lub 3 lata bez limitu km,8 lat / 160 000 km,,60,2026-09-25
skywell-et5,Skywell ET5,https://nowoczesneauta.pl/modele/skywell-et5/,official_pl_current,208990,2,,3 lata / 120 000 km (FAQ importera; szczegółowe warunki do potwierdzenia),8 lat / 150 000 km (FAQ importera; próg SoH niepodany),,0,2026-09-11
swm-g01-pro,SWM G01 Pro,https://nowoczesneauta.pl/modele/swm-g01-pro/,official_pl_current,99900,1,"Centralna promocja rocznika 2025; ograniczony zapas, odczyt 11.09.2026",5 lat / 100 000 km; krótsze okresy dla wybranych części w OWG,,,15,2026-09-11
swm-g03f,SWM G03F,https://nowoczesneauta.pl/modele/swm-g03f/,official_pl_current,69900,1,Promocja rocznika 2025; ograniczony zapas — odczyt 11.09.2026,5 lat / 100 000 km; z ograniczeniami OWG,,,15,2026-09-11
swm-g05,SWM G05,https://nowoczesneauta.pl/modele/swm-g05/,official_pl_current,99900,1,"Centralna promocja rocznika 2025, ograniczony zapas; odczyt 11.09.2026",5 lat / 100 000 km; ograniczenia OWG,,,15,2026-09-11
voyah-courage,Voyah Courage,https://nowoczesneauta.pl/modele/voyah-courage/,official_pl_current,225000,1,,,,,27,2026-09-14
voyah-dream,Voyah Dream,https://nowoczesneauta.pl/modele/voyah-dream/,official_pl_current,449000,1,,,,,27,2026-09-14
voyah-free,Voyah Free,https://nowoczesneauta.pl/modele/voyah-free/,official_pl_current,359000,1,,,,,27,2026-09-14
xpeng-g6,XPeng G6,https://nowoczesneauta.pl/modele/xpeng-g6/,official_pl_current,194900,3,,5 lat / 120 tys. km,8 lat / 160 tys. km,70%,6,2026-07-07
xpeng-g9,XPeng G9,https://nowoczesneauta.pl/modele/xpeng-g9/,official_pl_current,252900,3,,,,,6,2026-07-16
xpeng-l03,XPeng L03,https://nowoczesneauta.pl/modele/xpeng-l03/,official_pl_announced,,0,oficjalna zapowiedź dla Polski; jesień 2026,,,,6,2026-07-31
xpeng-p7,XPeng P7,https://nowoczesneauta.pl/modele/xpeng-p7/,official_pl_current,216900,2,,5 lat / 120 tys. km,8 lat / 160 tys. km,70%,6,2026-07-16
xpeng-p7-plus,XPeng P7+,https://nowoczesneauta.pl/modele/xpeng-p7-plus/,official_pl_current,197900,3,,5 lat / 120 tys. km,8 lat / 160 tys. km,70%,6,2026-07-16
xpeng-x9,XPeng X9,https://nowoczesneauta.pl/modele/xpeng-x9/,official_pl_current,324900,3,,5 lat / 120 tys. km,8 lat / 160 tys. km,70%,6,2026-07-16
